#velocity    Tmb
#km/s         K
    58.190     0.168
    58.112     0.166
    58.035     0.169
    57.957     0.212
    57.879     0.265
    57.802     0.268
    57.724     0.221
    57.646     0.170
    57.568     0.135
    57.491     0.119
    57.413     0.133
    57.335     0.157
    57.258     0.149
    57.180     0.102
    57.102     0.061
    57.024     0.051
    56.947     0.034
    56.869    -0.002
    56.791    -0.010
    56.714     0.008
    56.636     0.004
    56.558    -0.016
    56.480    -0.018
    56.403    -0.011
    56.351    -0.010
    56.273    -0.009
    56.196     0.001
    56.118     0.029
    56.040     0.071
    55.962     0.094
    55.885     0.072
    55.807     0.023
    55.729    -0.020
    55.652    -0.060
    55.574    -0.100
    55.496    -0.107
    55.418    -0.079
    55.341    -0.052
    55.263    -0.047
    55.185    -0.041
    55.108    -0.014
    55.030     0.011
    54.952     0.008
    54.874    -0.002
    54.797    -0.004
    54.719    -0.028
    54.641    -0.077
    54.564    -0.107
    54.486    -0.071
    54.408     0.005
    54.331     0.040
    54.253     0.009
    54.175    -0.046
    54.097    -0.077
    54.020    -0.066
    53.942    -0.036
    53.864    -0.032
    53.787    -0.048
    53.709    -0.034
    53.631     0.006
    53.553     0.034
    53.476     0.030
    53.398     0.004
    53.320    -0.013
    53.243    -0.006
    53.165     0.016
    53.087     0.038
    53.009     0.034
    52.932     0.014
    52.854     0.028
    52.776     0.050
    52.699     0.023
    52.621    -0.036
    52.543    -0.096
    52.491    -0.129
    52.414    -0.091
    52.336    -0.019
    52.258     0.003
    52.181    -0.006
    52.103     0.013
    52.025     0.042
    51.947     0.044
    51.870     0.047
    51.792     0.072
    51.714     0.106
    51.637     0.120
    51.559     0.098
    51.481     0.081
    51.403     0.117
    51.326     0.160
    51.248     0.135
    51.170     0.050
    51.093    -0.016
    51.015    -0.015
    50.937     0.025
    50.859     0.069
    50.782     0.111
    50.704     0.136
    50.626     0.135
    50.549     0.122
    50.471     0.099
    50.393     0.062
    50.315     0.040
    50.238     0.050
    50.160     0.086
    50.082     0.131
    50.005     0.132
    49.927     0.084
    49.849     0.032
    49.772     0.002
    49.694     0.012
    49.616     0.072
    49.538     0.130
    49.461     0.137
    49.383     0.128
    49.305     0.137
    49.228     0.134
    49.150     0.104
    49.072     0.092
    48.994     0.120
    48.917     0.140
    48.839     0.127
    48.761     0.116
    48.684     0.131
    48.606     0.147
    48.554     0.147
    48.476     0.155
    48.399     0.169
    48.321     0.155
    48.243     0.126
    48.165     0.119
    48.088     0.130
    48.010     0.135
    47.932     0.139
    47.855     0.143
    47.777     0.132
    47.699     0.130
    47.622     0.156
    47.544     0.171
    47.466     0.143
    47.388     0.090
    47.311     0.042
    47.233     0.029
    47.155     0.038
    47.078     0.036
    47.000     0.027
    46.922     0.011
    46.844    -0.015
    46.767    -0.041
    46.689    -0.060
    46.611    -0.075
    46.534    -0.083
    46.456    -0.086
    46.378    -0.064
    46.300    -0.017
    46.223     0.007
    46.145     0.005
    46.067    -0.014
    45.990    -0.064
    45.912    -0.104
    45.834    -0.088
    45.756    -0.045
    45.679    -0.020
    45.601    -0.020
    45.523    -0.029
    45.446    -0.033
    45.368    -0.021
    45.290     0.001
    45.212     0.004
    45.135    -0.027
    45.057    -0.066
    44.979    -0.058
    44.902     0.010
    44.824     0.059
    44.746     0.056
    44.694     0.053
    44.617     0.033
    44.539    -0.018
    44.461    -0.028
    44.384     0.002
    44.306     0.002
    44.228    -0.040
    44.150    -0.071
    44.073    -0.058
    43.995    -0.036
    43.917    -0.035
    43.840    -0.044
    43.762    -0.051
    43.684    -0.070
    43.606    -0.107
    43.529    -0.132
    43.451    -0.102
    43.373    -0.049
    43.296    -0.037
    43.218    -0.052
    43.140    -0.058
    43.063    -0.074
    42.985    -0.100
    42.907    -0.112
    42.829    -0.112
    42.752    -0.098
    42.674    -0.073
    42.596    -0.070
    42.519    -0.103
    42.441    -0.131
    42.363    -0.125
    42.285    -0.112
    42.208    -0.104
    42.130    -0.087
    42.052    -0.073
    41.975    -0.053
    41.897    -0.029
    41.819    -0.040
    41.741    -0.062
    41.664    -0.053
    41.586    -0.049
    41.508    -0.054
    41.431    -0.024
    41.353     0.020
    41.275     0.038
    41.197     0.024
    41.120    -0.027
    41.042    -0.099
    40.964    -0.127
    40.887    -0.096
    40.809    -0.067
    40.757    -0.052
    40.679    -0.016
    40.602     0.020
    40.524     0.002
    40.446    -0.054
    40.369    -0.099
    40.291    -0.114
    40.213    -0.117
    40.135    -0.127
    40.058    -0.127
    39.980    -0.100
    39.902    -0.059
    39.825    -0.013
    39.747     0.027
    39.669     0.034
    39.591    -0.008
    39.514    -0.083
    39.436    -0.149
    39.358    -0.170
    39.281    -0.128
    39.203    -0.057
    39.125    -0.021
    39.047    -0.024
    38.970    -0.031
    38.892    -0.032
    38.814    -0.037
    38.737    -0.046
    38.659    -0.062
    38.581    -0.088
    38.504    -0.105
    38.426    -0.101
    38.348    -0.083
    38.270    -0.056
    38.193    -0.033
    38.115    -0.020
    38.037     0.002
    37.960     0.053
    37.882     0.103
    37.804     0.100
    37.726     0.065
    37.649     0.042
    37.571    -0.001
    37.493    -0.075
    37.416    -0.116
    37.338    -0.081
    37.260    -0.011
    37.182     0.036
    37.105     0.048
    37.027     0.054
    36.949     0.082
    36.872     0.110
    36.820     0.115
    36.742     0.121
    36.664     0.130
    36.587     0.119
    36.509     0.111
    36.431     0.139
    36.354     0.168
    36.276     0.166
    36.198     0.169
    36.120     0.217
    36.043     0.276
    35.965     0.309
    35.887     0.342
    35.810     0.410
    35.732     0.499
    35.654     0.559
